Year,Month,Site,Days,Active Days,Trap Hours
2006,5,MCGC,"9,12,13,14,18,19,24,25,26,27,29,30",12,23:45
2006,6,MCGC,"2,3,4,5,6,7,8,9,13,14,15,16,18,21,22,23,25,26,30",19,31:17
2006,7,MCGC,"4,5,6,7,8,12,13,16,17,18,19,20,21,24,26,27,28,31",18,31:58
2006,8,MCGC,"1,3,4,7,8,10,11,12,13,15,16,18,19,21,23,24,26,27,28,31",20,30:38
2006,9,MCGC,"2,3,4,5,7,8,9,10,11,12,15,16",12,13:25
2006,7,CC2,"18,20,31",3,2:05
2006,8,CC2,"10,15,20,31",4,3:45
2006,9,CC2,4,1,1:30
2006,5,CC3,"25,27,28",3,7:45
2006,6,CC3,"3,6",2,3:00
2006,7,CC3,"17,20,31",3,3:10
2006,8,CC3,"8,15",2,2:00
2006,5,MP1,"13,14,17,18,20,21,25,26,28,30",10,22:40
2006,6,MP1,"3,4,7,9,12,13,23",7,13:59
2006,7,MP1,"6,12,15,19",4,8:10
2006,8,MP1,"1,3,7,10,12,16,18,20,23,24,27,28,31",13,18:20
2006,9,MP1,"2,3,5,7,9,10,11,15",8,12:25
2006,8,HPK1,"20,21,24,28",4,5:08
2006,9,HPK1,"2,3,4,7,9,10,11,15",8,10:05
2006,6,HPE,17,1,0:16
2006,6,NFPC,"28,29",2,4:15
2006,6,GNMTN,"17,24,30",3,4:00
2006,7,GNMTN,"14,25",2,3:30
2006,8,GNMTN,"2,9,17,25",4,7:00
2006,9,GNMTN,"2,5",2,3:00
2006,6,HOLZ,"17,24,30",3,3:45
2006,7,HOLZ,"14,25",2,3:00
2006,8,HOLZ,"2,9,17,25",4,5:30
2006,9,HOLZ,1,1,1:40
2006,6,KV1,"8,17,24,30",4,5:50
2006,7,KV1,"14,25",2,2:40
2006,8,KV1,"2,9,17,25",4,4:20
2006,9,KV1,1,1,1:20
