"Location","State","Latitude","Longitude","Elevation","First.Year","Last.Year","N.Years","N.Active.Years","N.Months","N.Days","Individuals.Banded","N.Captures","N.Males","N.Females"
"SCSNA","AZ",31.48797222,-110.8786111,1118,"2009","2011",3,7,5,9,15,15,9,6
"KP","AZ",31.95794444,-111.5972222,2066,"2003","2004",2,3,4,8,18,18,4,14
"CH","AZ",32.00472222,-109.3569444,1648,"2003","2005",3,3,6,10,26,26,10,16
"HC","AZ",31.49905556,-110.6819167,1387,"2005","2020",12,20,7,20,29,31,19,10
"CAVO","NM",36.778708,-103.979378,2214,"2012","2013",2,2,4,11,58,58,17,41
"BRCA","UT",37.65116667,-112.1766389,2428,"2010","2013",4,4,5,25,64,71,26,38
"GC","AZ",31.47177778,-110.3566667,1655,"2008","2011",4,4,3,13,67,71,29,38
"CFCK","UT",37.79330556,-111.4149722,1627,"2010","2021",12,12,5,47,76,93,14,62
"ESC","UT",37.77277778,-111.616,1793,"2010","2021",12,13,5,44,99,101,37,62
"FG","AZ",32.62627778,-109.9443056,1492,"2002","2005",4,4,7,21,116,128,56,60
"RA","AZ",31.44752778,-110.3074444,1693,"2003","2007",5,5,8,32,212,214,147,65
"FH","AZ",31.54738889,-110.3685833,1557,"2004","2021",16,16,7,74,224,229,111,113
"MA","AZ",31.71463889,-110.8760278,1621,"2003","2011",9,9,8,64,228,239,126,102
"MI","AZ",31.415528,-110.2765,1753,"2002","2003",2,2,8,29,250,251,107,143
"MG","AZ",32.70427778,-109.9136111,2895,"2003","2005",3,3,4,17,187,271,45,142
"SWRS","AZ",31.88322222,-109.2052778,1638,"2006","2019",14,14,6,85,320,353,163,157
"AL","AZ",33.83969444,-109.1205833,2438,"2006","2010",5,5,5,40,322,357,108,214
"SH","AZ",32.443472,-110.755833,2451,"2002","2003",2,2,5,14,432,463,268,164
"MV","CO",37.29516667,-108.4214722,2368,"2007","2021",15,15,5,111,364,536,162,202
"PP","CO",40.567095,-105.593285,2743,"2017","2019",3,3,4,21,523,643,153,370
"EC","AZ",31.86886111,-109.3675833,1777,"2005","2017",13,13,7,100,648,723,357,291
"PA","AZ",31.93522222,-109.2190278,1673,"2002","2021",19,19,7,144,830,864,392,438
"WCAT","UT",38.10833333,-111.3416667,2624,"2014","2021",8,8,5,70,864,1518,387,477
"PCBNM","NM",35.832506,-106.3545,2309,"2015","2021",7,7,5,57,1029,1698,416,613
"DGS","CO",37.77980556,-108.0901944,2741,"2008","2021",14,14,5,98,1661,2726,951,710
"ML","AZ",32.44088889,-110.7885833,2786,"2005","2021",16,16,5,131,2508,4445,1292,1216
