"","site","year","total_banding_days","average_banding_days","total_trap_hours","average_trap_hours"
"1","BGMD",2008,3,3,4,4
"2","CC2",2003,3,3,2.6,2.6
"3","CC2",2004,9,4.5,11.2,5.6
"4","CC2",2005,4,1.3,3.3,1.1
"5","CC2",2006,8,2.7,7.4,2.5
"6","CC2",2008,8,2.7,7.7,2.6
"7","CC3",2005,3,3,9.5,9.5
"8","CC3",2006,10,2.5,16,4
"9","CC3",2007,8,2,8.8,2.2
"10","CC3",2008,10,2.5,11.8,3
"11","CC3",2009,7,1.8,9.7,2.4
"12","CC3",2010,9,2.2,11.5,2.9
"13","CC3",2011,10,2,12.1,2.4
"14","CC3",2012,6,1.5,8,2
"15","CLP",2009,1,1,1,1
"16","GC1",2007,7,2.3,10.5,3.5
"17","GC1",2008,1,1,2,2
"18","GC1",2010,4,2,5,2.5
"19","GNMTN",2004,9,3,17,5.7
"20","GNMTN",2005,10,2.5,14.8,3.7
"21","GNMTN",2006,11,2.8,17.5,4.4
"22","GNMTN",2007,12,3,20.2,5
"23","GNMTN",2008,13,3.2,20.6,5.2
"24","GNMTN",2009,12,2.4,20.7,4.1
"25","GNMTN",2010,11,2.8,16,4
"26","GNMTN",2011,12,3,21.5,5.4
"27","GNMTN",2012,14,2.8,21.6,4.3
"28","HOLZ",2005,10,2.5,13,3.2
"29","HOLZ",2006,10,2.5,14,3.5
"30","HOLZ",2007,10,2.5,15.5,3.9
"31","HOLZ",2008,13,3.2,20.3,5.1
"32","HOLZ",2009,12,2.4,19.1,3.8
"33","HOLZ",2010,10,2.5,15.4,3.9
"34","HOLZ",2011,9,2.2,14.1,3.5
"35","HOLZ",2012,16,3.2,29.3,5.9
"36","HPE",2005,7,3.5,7.2,3.6
"37","HPE",2006,1,1,0.3,0.3
"38","HPK1",2006,12,6,15.2,7.6
"39","HPK1",2007,19,3.8,26.4,5.3
"40","HPK1",2008,22,5.5,31.3,7.8
"41","HPK1",2009,25,5,31.9,6.4
"42","HPK2",2010,22,4.4,29.3,5.9
"43","HPK2",2011,22,4.4,32.8,6.6
"44","HPK2",2012,8,2.7,15.9,5.3
"45","KV1",2004,10,2.5,19.8,5
"46","KV1",2005,9,2.2,11.7,2.9
"47","KV1",2006,11,2.8,14.1,3.5
"48","KV1",2007,13,3.2,16.7,4.2
"49","KV1",2008,13,3.2,18.5,4.6
"50","KV1",2009,13,2.6,25.7,5.1
"51","KV1",2010,14,2.8,23,4.6
"52","KV1",2011,13,3.2,22.4,5.6
"53","KV1",2012,11,2.2,16.9,3.4
"54","MCGC",2003,60,12,128.3,25.7
"55","MCGC",2004,75,15,153.2,30.6
"56","MCGC",2005,81,16.2,125.8,25.2
"57","MCGC",2006,81,16.2,131.1,26.2
"58","MCGC",2007,73,14.6,99.5,19.9
"59","MCGC",2008,68,13.6,93.4,18.7
"60","MCGC",2009,76,15.2,97.1,19.4
"61","MCGC",2010,72,14.4,119.7,23.9
"62","MCGC",2011,69,13.8,119.9,24
"63","MCGC",2012,58,11.6,109.8,22
"64","MP1",2003,6,3,12.8,6.4
"65","MP1",2004,21,7,49,16.3
"66","MP1",2005,50,10,101.2,20.2
"67","MP1",2006,42,8.4,75.6,15.1
"68","MP1",2007,39,7.8,77.1,15.4
"69","MP1",2008,32,6.4,65.7,13.1
"70","MP1",2009,45,9,87.2,17.4
"71","MP1",2010,43,8.6,76.8,15.4
"72","MP1",2011,44,8.8,79.6,15.9
"73","MP1",2012,40,8,85.1,17
"74","NFPC",2006,2,2,4.2,4.2
"75","NFPC",2008,2,2,7,7
"76","POLC",2009,3,1.5,4.5,2.2
"77","SHIP",2009,4,2,3.1,1.6
"78","WB1",2009,2,2,3.5,3.5
"79","WB2",2009,2,2,4,4
"80","WC1",2007,6,3,10,5
"81","WPK1",2009,4,2,4.9,2.5
